tournament,bLevel,seed,rWon,name,code,school,gender,speaks
Grapevine,Semis,1,5,Bennett Eckert,Greenhill BE,Greenhill,male,89
Grapevine,Semis,2,5,Sean McCormick,Strake Jesuit CP SM,Strake Jesuit CP,male,88.1
Grapevine,Semis,3,5,Richard Cook,Strake Jesuit CP RC,Strake Jesuit CP,male,87.7
Grapevine,Semis,4,5,Cameron McConway,Cy-Fair CM,Cy-Fair,female,87.6
Grapevine,Semis,5,5,Ryan Britton,Strake Jesuit CP RB,Strake Jesuit CP,male,86.5
Grapevine,Semis,6,4,Dino DeLaO,Law Magnet DD,Law Magnet,male,89.5
Grapevine,Semis,7,4,Graham Baker,Greenhill GB,Greenhill,male,89
Grapevine,Semis,8,4,Whitley Perryman,Montgomery WP,Montgomery,male,88.6
Grapevine,Semis,9,4,Macalah Thomas,Cedar Park MT,Cedar Park,female,88.2
Grapevine,Semis,10,4,Kevin Si,Dulles KS,Dulles,male,87.7
Grapevine,Semis,11,4,Morgan Grosch,Cedar Park MG,Cedar Park,female,87.3
Grapevine,Semis,12,4,Nolan Burdett,Dulles NB,Dulles,male,87.2
Grapevine,Semis,13,4,Lyndie Ho,Marcus LH,Marcus,female,86.7
Grapevine,Semis,14,4,Ian Mooers,Edmond Santa Fe IM,Edmond Santa Fe,male,86.6
Grapevine,Semis,15,4,Margaret Purcell,Northland Christian MP,Northland Christian,female,86.1
Grapevine,Semis,16,4,Breann Smith,Liberty Christian BS,Liberty Christian,female,86
Grapevine,Semis,17,4,Aimun Khan,Plano East Senior AK,Plano East Senior,male,85.9
Grapevine,Semis,18,4,Mehlam Bhuriwala,Montgomery MB,Montgomery,male,85.6
Grapevine,Semis,19,4,Adam Brown,Episcopal AB,Episcopal,male,85.2
Grapevine,Semis,20,4,jason yang,Kinkaid JY,Kinkaid,male,85
Grapevine,Semis,21,4,Vinay Maruri,Westlake VM,Westlake,male,84.9
Grapevine,Semis,22,4,William Ledig,Strake Jesuit CP WL,Strake Jesuit CP,male,84.7
Grapevine,Semis,23,3,Drew Burd,Westlake DB,Westlake,male,88.4
Grapevine,Semis,24,3,Kim Hsun,Winston Churchill KH,Winston Churchill,female,87.3
Grapevine,Semis,25,3,Parker Kelly,Houston Memorial PK,Houston Memorial,male,87.1
Grapevine,Semis,26,3,Kate Keough,Hockaday KK,Hockaday,female,87
Grapevine,Semis,27,3,Saavan Nanavati,Westwood SN,Westwood,male,87
Grapevine,Semis,28,3,Ashish Wadhwani,Dulles AW,Dulles,male,86.9
Grapevine,Semis,29,3,Kyle Fennessy,Strake Jesuit CP KF,Strake Jesuit CP,male,86.7
Grapevine,Semis,30,3,Madison Lewis,Northland Christian ML,Northland Christian,female,86.7
Grapevine,Semis,31,3,Tess Welch,Cy-Fair TW,Cy-Fair,female,86.5
Grapevine,Semis,32,3,Emma Deshpande,Hockaday ED,Hockaday,female,86.3
Grapevine,Semis,33,3,Kathie Lin,Dulles KL,Dulles,female,86.2
Grapevine,Semis,34,3,Matthew Lai,Strake Jesuit CP ML,Strake Jesuit CP,male,86
Grapevine,Semis,35,3,Neha Shah,Westwood NS,Westwood,female,85.9
Grapevine,Semis,36,3,Aisha Bawany,Plano East Senior AB,Plano East Senior,female,85.8
Grapevine,Semis,37,3,Emil Shabanov,Plano Senior ES,Plano Senior,male,85.8
Grapevine,Semis,38,3,Lori Jia,Hockaday LJ,Hockaday,female,85.6
Grapevine,Semis,39,3,Juan Martinez,Law Magnet JM,Law Magnet,male,85.2
Grapevine,Semis,40,3,Toran Langford,Holy Cross TL,Holy Cross,male,85.1
Grapevine,Semis,41,3,Zarek Drozda,Harker ZD,Harker,male,85.1
Grapevine,Semis,42,3,Altamish Nayani,Hebron AN,Hebron,male,84.8
Grapevine,Semis,43,3,Ari Pappaharonis,Edmond North AP,Edmond North,male,84.8
Grapevine,Semis,44,3,Katya Ehresman,Lake Travis KE,Lake Travis,female,84.8
Grapevine,Semis,45,3,Reese Grayson,Kingwood RG,Kingwood,male,84.6
Grapevine,Semis,46,3,Chloe Shames,Norman CS,Norman,female,84.2
Grapevine,Semis,47,3,Sam Segal,Kinkaid SS,Kinkaid,male,84.1
Grapevine,Semis,48,3,Spencer Paul,Harvard-Westlake SP,Harvard-Westlake,male,84.1
Grapevine,Semis,49,3,Asad Sayani,Hebron AS,Hebron,male,83.7
Grapevine,Semis,50,3,Roshan Sadhwani,Holy Cross RS,Holy Cross,male,83.7
Grapevine,Semis,51,3,Aaron Singh,Strake Jesuit CP AS,Strake Jesuit CP,male,83.6
Grapevine,Semis,52,2,Kaitlyn Hurst,Norman KH,Norman,female,85.8
Grapevine,Semis,53,2,Jacob Lugo,Winston Churchill JL,Winston Churchill,male,85.5
Grapevine,Semis,54,2,Patricia Liu,Edmond North PL,Edmond North,female,85.4
Grapevine,Semis,55,2,Spoorthi Dasari,Westwood SD,Westwood,female,85.2
Grapevine,Semis,56,2,Ava Holle,Denver East AH,Denver East,female,85
Grapevine,Semis,57,2,Matthew Gross,Harvard-Westlake MG,Harvard-Westlake,male,85
Grapevine,Semis,58,2,Saket Myneni,Westwood SM,Westwood,male,85
Grapevine,Semis,59,2,NICK HADSELL,keller NH,keller,male,84.9
Grapevine,Semis,60,2,Emily Jackson,Plano Senior EJ,Plano Senior,female,84.7
Grapevine,Semis,61,2,Amber Wang,Katy Taylor AW,Katy Taylor,female,84.6
Grapevine,Semis,62,2,Rachel Maciariello,Montgomery RM,Montgomery,female,84.5
Grapevine,Semis,63,2,Sophia Carranco,Tom C. Clark SC,Tom C. Clark,female,84.4
Grapevine,Semis,64,2,Sahar Massoudian,Hockaday SM,Hockaday,female,84.3
Grapevine,Semis,65,2,Sheradyn Romo,Marcus SR,Marcus,female,84.3
Grapevine,Semis,66,2,Shreya Agarwala,Greenhill SA,Greenhill,female,84.2
Grapevine,Semis,67,2,Shruthi Krishnan,Greenhill SK,Greenhill,female,84.1
Grapevine,Semis,68,2,Manaal Siddique,Colleyville Heritage MS,Colleyville Heritage,female,84
Grapevine,Semis,69,2,Alisha Samnani,Colleyville Heritage AS,Colleyville Heritage,female,83.9
Grapevine,Semis,70,2,Alex Kalai,Kinkaid AK,Kinkaid,male,83.8
Grapevine,Semis,71,2,Varun Rao,Westlake VR,Westlake,male,83.8
Grapevine,Semis,72,2,Pallavi Yennapu,Edmond North PY,Edmond North,female,83.7
Grapevine,Semis,73,2,Brooke Bulmash,Greenhill BB,Greenhill,female,83.6
Grapevine,Semis,74,2,Farzaan Kaiyom,Reagan FK,Reagan,male,83.6
Grapevine,Semis,75,2,Isaac Swedlow,Anderson IS,Anderson,male,83.5
Grapevine,Semis,76,2,Vishan Chaudhary,Harvard-Westlake VC,Harvard-Westlake,male,83
Grapevine,Semis,77,2,Emmanuel Zilber,Harvard-Westlake EZ,Harvard-Westlake,male,82.9
Grapevine,Semis,78,2,Nicholas Marques,Boca Raton Community NM,Boca Raton Community,male,82.8
Grapevine,Semis,79,2,Abhilash Datti,American Heritage Boca Delray AD,American Heritage Boca Delray,male,82.5
Grapevine,Semis,80,2,Bailey McHale,St. Andrew's Episcopal BM,St. Andrew's Episcopal,female,82.5
Grapevine,Semis,81,2,Claire Cheng,Houston Memorial CC,Houston Memorial,female,82.2
Grapevine,Semis,82,2,Zach Elmer,Prosper ZE,Prosper,male,82.2
Grapevine,Semis,83,2,Raisa Haq,Lake Travis RH,Lake Travis,female,82.1
Grapevine,Semis,84,1,Sara Moosa,Hebron SM,Hebron,female,84.6
Grapevine,Semis,85,1,David Rocha,Law Magnet DR,Law Magnet,male,84.5
Grapevine,Semis,86,1,Neha Chataut,Edmond North AL,Edmond North,male,84
Grapevine,Semis,87,1,Cassandra Lizardi,Law Magnet CL,Law Magnet,female,83.9
Grapevine,Semis,88,1,Blue O'Brennan,Denver East BO,Denver East,male,83.5
Grapevine,Semis,89,1,Sahithi Talasila,Marcus ST,Marcus,female,83.5
Grapevine,Semis,90,1,Eswar Mohan,American Heritage Boca Delray EM,American Heritage Boca Delray,male,83.3
Grapevine,Semis,91,1,Max Donovan,Denver East MD,Denver East,male,83.3
Grapevine,Semis,92,1,Nikhil Srinivas,Marcus NS,Marcus,male,83.2
Grapevine,Semis,93,1,Shreya Kabra,Colleyville Heritage SK,Colleyville Heritage,female,83.2
Grapevine,Semis,94,1,Altaf Samnani,Colleyville Heritage ASa,Colleyville Heritage,male,82.7
Grapevine,Semis,95,1,Doris Zhou,Norman DZ,Norman,female,82.3
Grapevine,Semis,96,1,Devarya Raman,Plano East Senior DR,Plano East Senior,male,82
Grapevine,Semis,97,1,Mikael Brown,Desert Oasis MB,Desert Oasis,male,82
Grapevine,Semis,98,1,James Thomason,Anderson JT,Anderson,male,81.6
Grapevine,Semis,99,1,Allyson Pigmon,Ryan AP,Ryan,female,81.4
Grapevine,Semis,100,0,Makayla Kovar,North Mesquite MK,North Mesquite,female,83.5
Grapevine,Semis,101,0,Reeda Virani,Reagan RV,Reagan,female,82.7
Grapevine,Semis,102,0,Aidan Farmayan,Houston Memorial AF,Houston Memorial,male,81.9
Grapevine,Semis,103,0,Numayr Rahman,Edmond Santa Fe NR,Edmond Santa Fe,male,80.5
Grapevine,Semis,104,0,Robert Morris,Edmond Santa Fe RM,Edmond Santa Fe,male,80.5
